Season,Team,Wins,Losses,Ties,Seed
2021,Tennessee Titans,12,5,0,1
2021,Kansas City Chiefs,12,5,0,2
2021,Buffalo Bills,11,6,0,3
2021,Cincinnati Bengals,10,7,0,4
2021,Las Vegas Raiders,10,7,0,5
2021,New England Patriots,10,7,0,6
2021,Pittsburgh Steelers,9,7,1,7
2022,Kansas City Chiefs,14,3,0,1
2022,Buffalo Bills,13,3,0,2
2022,Cincinnati Bengals,12,4,0,3
2022,Jacksonville Jaguars,9,8,0,4
2022,Los Angeles Chargers,10,7,0,5
2022,Baltimore Ravens,10,7,0,6
2022,Miami Dolphins,9,8,0,7
2023,Baltimore Ravens,13,4,0,1
2023,Buffalo Bills,11,6,0,2
2023,Kansas City Chiefs,11,6,0,3
2023,Houston Texans,10,7,0,4
2023,Cleveland Browns,11,6,0,5
2023,Miami Dolphins,11,6,0,6
2023,Pittsburgh Steelers,10,7,0,7
