PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
459,6194,1114,5.6,20,8,383,391,577,3952,31,12,6.6,214,519,2242,19,4.3,143,118,956,26,170,44.7,11.2,Own 29.3,3:11,6.7,36.3,2.52
392,6178,1033,6.0,15,6,340,397,621,4742,31,9,7.2,232,378,1436,13,3.8,81,98,882,27,190,34.2,7.9,Own 27.9,2:32,5.6,32.4,1.95
289,4637,1014,4.6,30,11,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,844,39,186,28.0,14.5,Own 28.9,2:37,5.6,24.7,1.51
404,5201,1028,5.1,16,7,311,337,515,3266,26,9,5.9,170,474,1935,16,4.1,112,108,896,29,197,37.6,8.1,Own 33.5,2:33,5.4,26.1,1.98
407,5384,1009,5.3,16,8,321,314,477,3257,31,8,6.2,170,483,2127,14,4.4,116,93,856,35,178,40.4,8.4,Own 31.0,2:50,5.8,30.2,2.22
376,5964,1075,5.5,21,8,339,420,626,4222,26,13,6.3,213,407,1742,15,4.3,107,116,946,19,189,33.9,11.1,Own 29.1,2:42,5.9,31.5,1.88
371,5296,1056,5.0,19,6,327,367,576,3439,29,13,5.6,184,437,1857,13,4.2,108,98,882,35,182,37.4,9.9,Own 28.7,2:44,6.0,28.9,2.04
358,5967,1082,5.5,34,8,327,364,612,4049,24,26,6.2,191,429,1918,13,4.5,99,121,973,37,203,32.5,16.7,Own 27.1,2:31,5.5,29.3,1.70
322,5544,1039,5.3,19,6,312,341,562,3652,22,13,6.1,192,441,1892,9,4.3,99,104,922,21,168,32.7,10.7,Own 26.6,2:57,6.4,33.0,1.72
467,6456,1092,5.9,19,8,372,359,544,4160,31,11,7.2,211,518,2296,19,4.4,135,87,818,26,180,47.8,10.6,Own 28.9,2:58,6.3,35.7,2.54
371,5579,1037,5.4,26,8,337,379,603,3724,31,18,5.8,194,395,1855,13,4.7,120,88,718,23,172,36.6,14.0,Own 27.7,2:42,6.1,32.1,2.12
452,6535,1101,5.9,25,8,382,363,546,4117,27,17,7.1,218,523,2418,25,4.6,135,89,790,29,189,42.9,12.2,Own 29.6,2:51,6.0,34.4,2.41
365,5834,1050,5.6,33,14,334,390,597,3980,32,19,6.3,213,420,1854,10,4.4,101,109,978,20,181,35.4,17.1,Own 27.5,2:41,6.0,32.1,1.99
457,6002,1068,5.6,9,2,351,377,543,3875,24,7,6.7,198,493,2127,22,4.3,124,104,879,29,172,45.3,5.2,Own 29.7,3:13,6.4,34.9,2.43
364,6272,1060,5.9,29,14,363,401,610,4273,27,15,6.7,209,419,1999,15,4.8,121,116,911,33,169,37.3,16.0,Own 26.5,2:56,6.4,37.0,2.14
459,6122,1103,5.6,21,10,383,357,559,3761,27,11,6.3,199,509,2361,22,4.6,144,99,835,40,179,45.3,11.2,Own 30.0,2:58,6.4,34.2,2.45
372,5863,1118,5.2,25,6,347,416,625,4109,17,19,6.1,214,443,1754,18,4.0,111,88,688,22,181,35.9,13.3,Own 27.9,2:57,6.4,32.4,1.85
439,5732,1103,5.2,15,9,349,400,606,3789,29,6,5.9,202,462,1943,18,4.2,109,99,1021,38,178,41.6,7.3,Own 26.5,2:57,6.4,32.1,2.30
373,5738,1081,5.3,26,12,337,373,608,3871,23,14,5.9,199,425,1867,16,4.4,106,109,991,32,193,36.3,13.0,Own 29.3,2:39,5.8,29.7,1.90
426,6522,1152,5.7,24,8,391,401,626,4300,29,16,6.4,224,475,2222,15,4.7,131,93,786,36,194,40.2,11.9,Own 28.0,2:47,6.1,33.6,2.11
303,5284,1038,5.1,30,7,308,319,538,3181,21,23,5.5,176,464,2103,9,4.5,111,100,831,21,177,29.4,16.9,Own 26.8,2:51,6.1,29.9,1.56
335,5410,1064,5.1,25,7,304,369,592,3821,20,18,6.0,185,426,1589,12,3.7,84,89,761,35,195,32.3,12.8,Own 27.7,2:35,5.7,27.8,1.63
416,6032,1137,5.3,22,7,365,402,611,3839,27,15,6.0,216,492,2193,15,4.5,126,107,814,23,184,41.3,12.0,Own 31.1,2:55,6.4,32.8,2.15
504,6760,1145,5.9,14,7,401,401,587,4409,28,7,7.1,234,525,2351,28,4.5,129,84,814,38,190,48.9,7.4,Own 31.7,2:56,6.2,35.3,2.67
385,5590,1076,5.2,16,4,358,409,589,3756,28,12,6.1,208,458,1834,18,4.0,115,92,824,35,180,37.2,8.9,Own 29.3,2:48,6.1,30.7,2.14
398,6139,1116,5.5,22,9,354,355,563,3656,24,13,5.9,186,498,2483,17,5.0,144,123,1017,24,194,38.7,10.8,Own 30.5,2:45,5.9,31.6,2.01
366,6445,1201,5.4,18,7,400,443,658,4513,24,11,6.5,240,509,1932,16,3.8,124,96,919,36,189,35.4,8.5,Own 26.0,3:10,6.5,34.1,1.91
365,5270,1032,5.1,20,11,318,372,545,3510,25,9,5.9,180,439,1760,17,4.0,97,94,793,41,183,34.4,9.3,Own 29.5,2:46,5.8,28.8,1.95
353,5635,1093,5.2,29,12,344,445,680,4062,26,17,5.6,214,366,1573,11,4.3,94,79,635,36,191,33.5,14.7,Own 28.3,2:39,5.9,29.4,1.78
354,5607,1039,5.4,22,6,331,395,628,4169,24,16,6.2,204,368,1438,14,3.9,90,118,1070,37,186,37.1,10.8,Own 29.6,2:33,5.8,30.1,1.93
434,6108,1065,5.7,19,8,346,400,597,4333,34,11,6.8,220,430,1775,14,4.1,101,96,803,25,177,42.4,10.7,Own 28.4,2:49,6.2,34.4,2.36
366,5597,1028,5.4,27,14,336,367,561,3645,30,13,6.1,192,426,1952,10,4.6,109,100,896,35,177,35.6,15.3,Own 29.6,2:46,6.0,31.5,1.97
386,6156,1082,5.7,17,7,351,372,561,3942,26,10,6.8,200,500,2214,15,4.4,136,100,804,15,170,43.5,10.0,Own 29.0,3:03,6.6,36.2,2.27
315,5513,1047,5.3,25,11,323,394,593,3947,20,14,6.2,206,406,1566,11,3.9,91,79,650,26,173,35.8,13.9,Own 27.5,2:48,6.2,31.6,1.79
286,5106,997,5.1,27,10,313,362,570,3433,21,17,5.6,181,387,1673,10,4.3,103,89,754,29,168,31.0,14.3,Own 27.9,2:55,6.1,30.3,1.67
374,5953,1103,5.4,17,7,346,383,580,3868,25,10,6.3,194,488,2085,17,4.3,125,105,866,27,193,34.2,8.3,Own 28.4,2:49,5.9,30.8,1.90
463,6390,1043,6.1,23,9,361,323,481,3716,22,14,7.4,184,542,2674,31,4.9,151,84,647,26,177,41.8,11.9,Own 28.9,2:56,6.1,35.9,2.45
322,5371,996,5.4,24,11,295,329,559,3665,17,13,6.2,173,407,1706,12,4.2,102,100,832,20,176,36.4,13.1,Own 28.0,2:35,5.9,30.6,1.77
381,5631,1041,5.4,20,9,329,315,519,3336,20,11,6.0,166,488,2295,22,4.7,129,88,714,34,187,38.5,10.2,Own 29.0,2:37,5.8,30.2,2.05
342,5613,1101,5.1,33,17,327,345,550,3415,23,16,5.7,174,497,2198,9,4.4,119,98,851,34,197,33.5,16.2,Own 29.2,2:40,5.8,28.4,1.65
359,5440,1079,5.0,23,8,324,392,605,3574,20,15,5.6,180,438,1866,12,4.3,109,106,922,35,198,35.9,10.6,Own 28.7,2:40,5.7,27.4,1.72
427,6670,1076,6.2,22,10,377,353,560,4179,26,12,7.0,209,477,2491,22,5.2,135,103,818,33,177,41.2,11.9,Own 26.8,2:53,6.2,37.7,2.32
371,5721,991,5.8,24,7,321,314,478,3349,22,17,6.5,163,479,2372,18,5.0,129,100,916,29,173,38.2,13.9,Own 28.9,2:51,5.9,33.0,2.07
420,6452,1134,5.7,27,11,372,336,522,3558,15,16,6.3,196,573,2894,25,5.1,150,95,773,26,193,35.2,11.9,Own 27.1,2:49,6.0,33.2,1.89
427,5678,1092,5.2,21,11,344,365,537,3569,25,10,6.1,184,511,2109,20,4.1,127,89,725,33,197,36.0,10.2,Own 29.2,2:40,5.7,28.7,1.99
350,6006,1106,5.4,27,13,350,385,601,4055,25,14,6.4,211,470,1951,14,4.2,114,90,683,25,180,36.1,14.4,Own 27.1,2:52,6.3,33.3,1.95
369,5579,1093,5.1,20,9,337,408,619,3756,33,11,5.6,207,419,1823,10,4.4,102,98,734,28,184,35.9,10.3,Own 28.2,2:49,6.1,30.2,2.01
384,5884,1002,5.9,24,10,318,310,505,3406,24,14,6.2,175,457,2478,17,5.4,119,80,762,24,188,37.2,11.2,Own 27.4,2:41,5.5,31.5,2.01
384,5798,1049,5.5,22,6,331,375,556,3842,23,16,6.5,203,455,1956,12,4.3,106,82,691,22,173,41.0,12.1,Own 29.8,3:00,6.3,33.5,2.04
418,6216,1077,5.8,13,7,360,399,590,4129,25,6,6.7,206,460,2087,20,4.5,126,93,758,28,179,40.8,7.3,Own 29.0,2:52,6.2,34.7,2.23
399,5743,1086,5.3,14,6,336,416,624,3992,27,8,6.0,200,422,1751,15,4.1,98,84,799,38,184,37.5,7.6,Own 28.8,2:50,6.1,31.1,2.04
427,6608,1118,5.9,25,10,359,408,617,4515,23,15,6.9,224,463,2093,18,4.5,113,111,926,22,192,41.1,12.0,Own 27.8,2:45,6.1,34.4,2.09
347,5474,1091,5.0,30,11,314,364,596,3681,28,19,5.7,194,441,1793,7,4.1,90,89,699,30,190,30.5,14.2,Own 28.9,2:48,5.9,28.7,1.63
345,5352,1076,5.0,14,7,319,322,536,3134,17,7,5.4,159,492,2218,14,4.5,122,92,798,38,184,34.8,7.1,Own 28.1,2:49,6.0,29.1,1.74
371,6089,1078,5.6,19,13,370,349,568,3638,21,6,6.0,200,469,2451,16,5.2,134,111,819,36,181,39.8,8.8,Own 29.1,2:48,6.1,33.2,1.99
316,5288,1093,4.8,16,4,310,347,556,3220,15,12,5.4,166,492,2068,14,4.2,117,90,707,27,192,32.3,8.3,Own 29.9,2:46,5.9,27.3,1.57
