3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
217,105,48.4%,22,11,50.0%,69,44,63.8%
201,70,34.8%,18,11,61.1%,50,27,54.0%
214,66,30.8%,35,16,45.7%,45,23,51.1%
217,82,37.8%,21,12,57.1%,52,35,67.3%
211,81,38.4%,24,12,50.0%,54,30,55.6%
221,92,41.6%,18,7,38.9%,53,32,60.4%
219,86,39.3%,25,16,64.0%,52,34,65.4%
223,76,34.1%,26,16,61.5%,47,28,59.6%
225,101,44.9%,26,11,42.3%,43,21,48.8%
204,92,45.1%,14,9,64.3%,60,42,70.0%
203,87,42.9%,33,15,45.5%,49,33,67.3%
206,89,43.2%,19,11,57.9%,66,41,62.1%
210,85,40.5%,21,12,57.1%,53,34,64.2%
221,95,43.0%,21,14,66.7%,61,38,62.3%
199,80,40.2%,31,19,61.3%,56,32,57.1%
216,107,49.5%,22,7,31.8%,67,43,64.2%
223,92,41.3%,32,17,53.1%,56,29,51.8%
230,91,39.6%,29,21,72.4%,43,35,81.4%
231,95,41.1%,18,11,61.1%,57,30,52.6%
214,78,36.4%,30,15,50.0%,59,33,55.9%
211,77,36.5%,32,17,53.1%,48,23,47.9%
240,89,37.1%,21,9,42.9%,46,20,43.5%
226,90,39.8%,23,15,65.2%,71,37,52.1%
223,99,44.4%,21,13,61.9%,74,45,60.8%
217,93,42.9%,29,14,48.3%,60,40,66.7%
232,86,37.1%,24,13,54.2%,59,30,50.8%
224,88,39.3%,31,13,41.9%,61,31,50.8%
220,88,40.0%,25,11,44.0%,60,34,56.7%
226,87,38.5%,28,13,46.4%,59,31,52.5%
210,77,36.7%,24,14,58.3%,58,30,51.7%
229,111,48.5%,20,12,60.0%,59,35,59.3%
207,79,38.2%,30,14,46.7%,51,31,60.8%
220,101,45.9%,17,7,41.2%,60,33,55.0%
209,73,34.9%,24,15,62.5%,56,26,46.4%
208,78,37.5%,33,19,57.6%,49,22,44.9%
231,95,41.1%,18,8,44.4%,57,32,56.1%
204,100,49.0%,15,6,40.0%,62,40,64.5%
212,84,39.6%,23,9,39.1%,50,26,52.0%
215,85,39.5%,18,8,44.4%,58,32,55.2%
231,87,37.7%,22,12,54.5%,50,26,52.0%
220,75,34.1%,14,9,64.3%,47,24,51.1%
204,92,45.1%,27,15,55.6%,58,37,63.8%
194,73,37.6%,19,11,57.9%,54,29,53.7%
221,86,38.9%,21,13,61.9%,55,31,56.4%
224,85,37.9%,25,13,52.0%,53,36,67.9%
220,95,43.2%,31,10,32.3%,52,31,59.6%
222,85,38.3%,35,20,57.1%,55,37,67.3%
199,78,39.2%,15,6,40.0%,48,25,52.1%
208,84,40.4%,20,13,65.0%,54,24,44.4%
206,86,41.7%,20,11,55.0%,54,35,64.8%
233,97,41.6%,31,15,48.4%,59,35,59.3%
215,82,38.1%,29,11,37.9%,49,28,57.1%
241,97,40.2%,27,10,37.0%,50,29,58.0%
233,97,41.6%,19,8,42.1%,44,22,50.0%
205,72,35.1%,17,11,64.7%,63,31,49.2%
244,93,38.1%,26,11,42.3%,46,22,47.8%
223,86,38.6%,25,15,60.0%,55,29,52.7%
216,85,39.4%,21,13,61.9%,47,26,55.3%
227,96,42.3%,28,11,39.3%,52,31,59.6%
218,85,39.0%,25,10,40.0%,37,21,56.8%
236,87,36.9%,24,14,58.3%,48,30,62.5%
225,77,34.2%,26,19,73.1%,49,27,55.1%
210,67,31.9%,25,12,48.0%,52,27,51.9%
203,87,42.9%,16,8,50.0%,66,43,65.2%
228,77,33.8%,23,11,47.8%,53,24,45.3%
250,91,36.4%,32,13,40.6%,49,20,40.8%
215,83,38.6%,19,10,52.6%,48,27,56.3%
221,84,38.0%,10,7,70.0%,57,36,63.2%
222,98,44.1%,23,10,43.5%,45,31,68.9%
213,87,40.8%,15,7,46.7%,60,31,51.7%
230,67,29.1%,15,6,40.0%,42,30,71.4%
211,79,37.4%,37,19,51.4%,48,27,56.3%
202,67,33.2%,34,16,47.1%,59,34,57.6%
202,75,37.1%,26,15,57.7%,53,35,66.0%
224,92,41.1%,30,14,46.7%,57,29,50.9%
227,81,35.7%,29,16,55.2%,54,28,51.9%
240,89,37.1%,26,17,65.4%,52,29,55.8%
230,84,36.5%,41,21,51.2%,52,29,55.8%
224,83,37.1%,28,13,46.4%,50,25,50.0%
232,89,38.4%,32,19,59.4%,51,27,52.9%
228,88,38.6%,30,16,53.3%,48,26,54.2%
227,94,41.4%,26,14,53.8%,48,30,62.5%
216,84,38.9%,30,14,46.7%,54,35,64.8%
232,96,41.4%,25,18,72.0%,50,27,54.0%
237,86,36.3%,19,10,52.6%,52,24,46.2%
226,78,34.5%,26,11,42.3%,48,24,50.0%
216,80,37.0%,19,10,52.6%,59,36,61.0%
242,90,37.2%,16,7,43.8%,49,24,49.0%
233,108,46.4%,34,19,55.9%,59,39,66.1%
233,91,39.1%,18,8,44.4%,50,23,46.0%
231,107,46.3%,26,13,50.0%,57,34,59.6%
215,88,40.9%,28,14,50.0%,44,24,54.5%
225,92,40.9%,25,12,48.0%,54,23,42.6%
231,89,38.5%,21,12,57.1%,61,23,37.7%
226,94,41.6%,21,13,61.9%,60,34,56.7%
205,97,47.3%,15,7,46.7%,71,43,60.6%
