3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
211,82,38.9%,24,10,41.7%,54,29,53.7%
225,82,36.4%,27,18,66.7%,55,34,61.8%
222,103,46.4%,22,11,50.0%,77,48,62.3%
235,84,35.7%,34,14,41.2%,47,25,53.2%
216,75,34.7%,36,15,41.7%,48,23,47.9%
207,82,39.6%,20,13,65.0%,52,31,59.6%
212,83,39.2%,29,12,41.4%,50,31,62.0%
228,99,43.4%,24,14,58.3%,65,41,63.1%
213,82,38.5%,28,16,57.1%,53,29,54.7%
213,74,34.7%,41,21,51.2%,45,21,46.7%
202,88,43.6%,22,13,59.1%,70,41,58.6%
239,95,39.7%,21,9,42.9%,37,19,51.4%
210,86,41.0%,29,18,62.1%,64,36,56.3%
212,76,35.8%,31,18,58.1%,39,20,51.3%
205,107,52.2%,15,10,66.7%,69,41,59.4%
221,100,45.2%,34,22,64.7%,75,48,64.0%
205,90,43.9%,19,10,52.6%,70,42,60.0%
206,77,37.4%,19,12,63.2%,60,31,51.7%
233,95,40.8%,22,12,54.5%,49,30,61.2%
228,83,36.4%,22,12,54.5%,53,33,62.3%
209,91,43.5%,17,11,64.7%,63,39,61.9%
220,78,35.5%,21,11,52.4%,56,33,58.9%
230,84,36.5%,30,13,43.3%,38,17,44.7%
212,77,36.3%,29,14,48.3%,51,28,54.9%
221,101,45.7%,24,11,45.8%,61,38,62.3%
239,93,38.9%,21,10,47.6%,50,27,54.0%
193,72,37.3%,11,4,36.4%,48,31,64.6%
199,80,40.2%,20,10,50.0%,54,36,66.7%
223,105,47.1%,16,9,56.3%,68,45,66.2%
236,103,43.6%,24,15,62.5%,61,39,63.9%
224,87,38.8%,32,16,50.0%,51,26,51.0%
221,100,45.2%,29,17,58.6%,65,39,60.0%
196,82,41.8%,18,9,50.0%,54,30,55.6%
218,91,41.7%,20,8,40.0%,59,27,45.8%
193,97,50.3%,13,7,53.8%,58,35,60.3%
202,64,31.7%,21,12,57.1%,46,26,56.5%
220,90,40.9%,25,8,32.0%,50,28,56.0%
206,95,46.1%,12,3,25.0%,57,37,64.9%
231,88,38.1%,42,23,54.8%,56,30,53.6%
231,105,45.5%,19,10,52.6%,56,40,71.4%
230,67,29.1%,24,12,50.0%,36,20,55.6%
211,86,40.8%,37,20,54.1%,68,45,66.2%
200,79,39.5%,31,12,38.7%,54,28,51.9%
221,67,30.3%,26,13,50.0%,48,23,47.9%
228,75,32.9%,26,12,46.2%,48,22,45.8%
215,90,41.9%,27,14,51.9%,58,31,53.4%
193,94,48.7%,12,9,75.0%,72,50,69.4%
257,112,43.6%,29,15,51.7%,62,33,53.2%
211,83,39.3%,19,15,78.9%,45,25,55.6%
208,83,39.9%,24,13,54.2%,48,23,47.9%
196,71,36.2%,24,13,54.2%,50,30,60.0%
226,93,41.2%,19,9,47.4%,64,40,62.5%
215,75,34.9%,13,5,38.5%,45,19,42.2%
219,88,40.2%,11,4,36.4%,48,25,52.1%
212,78,36.8%,21,10,47.6%,49,31,63.3%
240,83,34.6%,28,11,39.3%,46,20,43.5%
222,102,45.9%,32,22,68.8%,59,40,67.8%
236,106,44.9%,15,11,73.3%,52,27,51.9%
201,76,37.8%,21,12,57.1%,55,26,47.3%
211,95,45.0%,17,7,41.2%,63,34,54.0%
246,92,37.4%,27,15,55.6%,50,26,52.0%
219,80,36.5%,17,9,52.9%,42,27,64.3%
230,81,35.2%,25,12,48.0%,47,24,51.1%
233,82,35.2%,41,18,43.9%,44,25,56.8%
225,90,40.0%,19,8,42.1%,47,22,46.8%
207,87,42.0%,14,8,57.1%,68,42,61.8%
219,109,49.8%,16,9,56.3%,65,41,63.1%
249,85,34.1%,48,23,47.9%,36,18,50.0%
238,98,41.2%,26,13,50.0%,49,28,57.1%
218,82,37.6%,20,9,45.0%,52,31,59.6%
253,80,31.6%,32,18,56.3%,50,28,56.0%
230,111,48.3%,23,13,56.5%,71,40,56.3%
220,81,36.8%,20,13,65.0%,58,30,51.7%
224,93,41.5%,40,21,52.5%,64,41,64.1%
223,105,47.1%,24,12,50.0%,64,33,51.6%
232,88,37.9%,21,8,38.1%,53,29,54.7%
232,82,35.3%,32,16,50.0%,57,28,49.1%
228,87,38.2%,29,13,44.8%,52,26,50.0%
220,96,43.6%,20,10,50.0%,61,33,54.1%
237,91,38.4%,32,15,46.9%,47,27,57.4%
226,95,42.0%,21,13,61.9%,55,35,63.6%
216,77,35.6%,23,14,60.9%,47,23,48.9%
202,85,42.1%,25,11,44.0%,58,38,65.5%
223,85,38.1%,29,17,58.6%,51,24,47.1%
222,67,30.2%,25,9,36.0%,36,21,58.3%
235,91,38.7%,19,9,47.4%,60,32,53.3%
248,75,30.2%,37,18,48.6%,43,19,44.2%
235,61,26.0%,29,17,58.6%,37,12,32.4%
225,108,48.0%,26,19,73.1%,60,36,60.0%
232,85,36.6%,19,9,47.4%,42,20,47.6%
207,75,36.2%,16,6,37.5%,54,26,48.1%
179,85,47.5%,13,7,53.8%,67,45,67.2%
236,98,41.5%,18,12,66.7%,49,22,44.9%
212,71,33.5%,20,11,55.0%,48,23,47.9%
216,77,35.6%,29,16,55.2%,49,31,63.3%
225,88,39.1%,34,15,44.1%,44,27,61.4%
